Unofficial Results Add on #9 - Projected Outstanding Ballots 60,000      (Next Update 3/16/20 5PM or later)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","GEORGINE TOMASI","7","0","0","9746","0","9746","201","201","34510"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","REGINA W. ROBERTS","1","0","0","21697","0","21697","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","DUNCAN FANE","1","0","0","6828","0","6828","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","LEE J. DE MEO","1","0","0","12499","0","12499","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","JENNIFER DE MEO","1","0","0","4560","0","4560","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","WILLIAM DEL PILAR","1","0","0","5381","0","5381","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","ALANA SORENSEN","1","0","0","12502","0","12502","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","MATT STOCKTON","1","0","0","14370","0","14370","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","KIMBERLY MEAD","1","0","0","17685","0","17685","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","C. BRIAN MELONAKOS","1","0","0","9605","0","9605","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","RANDY BERHOLTZ","1","0","0","11743","0","11743","201","201","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","BRIAN TINNEY","1","0","0","7453","0","7453","201","201","41695"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","CECILY ""CESS"" RESNICK","7","0","0","12360","0","12360","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","ROBERT ""ROB"" HOWARD","7","0","0","10762","0","10762","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","MEGAN LEY","7","0","0","12696","0","12696","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","BILL FOWLER","7","0","0","10048","0","10048","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","DANIEL R.F. O'DONNELL","7","0","0","7028","0","7028","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","KYLE KRAHEL","7","0","0","7916","0","7916","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","MARGUERITE KEALEY","7","0","0","10431","0","10431","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","SHERI SACHS","7","0","0","13347","0","13347","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","ESTHER C. SANCHEZ","7","0","0","16616","0","16616","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","KEVIN SABELLICO","7","0","0","1920","0","1920","249","249","58103"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","LINDA SUE SLATER","7","0","0","11810","0","11810","249","249","58103"
